Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Humidity Avg. (%),Precip. Accumulated (mm),Precip. (mm),Wind Speed 2 m Avg. (km/h),Wind Speed 10 m Avg. (km/h),Wind Dir. 10 m Avg. (°),Precip. Long Term (mm),Air Temp. Avg. Long Term (°C),Air Temp. Avg. Min. Long Term (°C),Air Temp. Avg. Max. Long Term (°C),Growing Degree Days Long Term (base 5°C) (GDD),Corn Heat Units Long Term (CHU),Frost Probability 0°C (%),ET. Std-Grass (mm),Growing Degree Days (base 5°C) (GDD),Corn Heat Units (CHU),Potato Heat Units (PHU)
Lathom AGCM,2005-04-22,,,,,,,,,,16.3,7.1,-0.6,14.8,37.2,1.7,100,,,,
Lathom AGCM,2005-04-23,,,,,,,,,,16.9,7.3,-0.2,14.8,40.5,2.2,100,,,,
Lathom AGCM,2005-04-24,,,,,,,,,,17.8,7.7,0.3,15,44,3.1,100,,,,
Lathom AGCM,2005-04-25,,,,,,,,,,19.1,7,0,13.9,46.9,3.7,100,,,,
Lathom AGCM,2005-04-26,,,,,,,,,,20.6,6.6,-0.7,14,49.5,4.3,100,,,,
Lathom AGCM,2005-04-27,,,,,,,,,,22.3,7.1,-0.4,14.5,52.8,5.2,100,,,,
Lathom AGCM,2005-04-28,,,,,,,,,,23.8,7.3,0.1,14.5,56.3,6.5,100,,,,
Lathom AGCM,2005-04-29,,,,,,,,,,24.8,7.4,0.2,14.6,59.7,8.1,98.2,,,,
Lathom AGCM,2005-04-30,,,,,,,,,,25.7,7.5,0.2,14.8,62.8,10,98.2,,,,
Lathom AGCM,2005-05-01,,,,,,,,,,25.9,8.4,0.5,16.2,66.5,11.9,96.5,,,,
Lathom AGCM,2005-05-02,,,,,,,,,,26.8,8.9,1.3,16.4,70.7,13.7,96.5,,,,
Lathom AGCM,2005-05-03,,,,,,,,,,28.6,8.5,0.9,16.1,74.7,15.8,96.5,,,,
Lathom AGCM,2005-05-04,,,,,,,,,,30.1,8.6,1.5,15.6,78.7,18,93,,,,
Lathom AGCM,2005-05-05,,,,,,,,,,32.2,8.7,1.7,15.7,82.9,20.1,89.5,,,,
Lathom AGCM,2005-05-06,,,,,,,,,,33.7,10.6,3.1,18.2,88.7,25.9,87.7,,,,
Lathom AGCM,2005-05-07,,,,,,,,,,35.1,8.7,2.4,15,92.9,28.1,82.5,,,,
Lathom AGCM,2005-05-08,,,,,,,,,,35.3,9.4,2.1,16.6,97.6,30.6,80.7,,,,
Lathom AGCM,2005-05-09,,,,,,,,,,36.2,9.1,2,16.1,102,33.3,75.4,,,,
Lathom AGCM,2005-05-10,,,,,,,,,,37.6,9.2,2.2,16.1,106.4,35.9,75.4,,,,
Lathom AGCM,2005-05-11,,,,,,,,,,38.4,9.1,1.4,16.8,110.8,38.9,73.7,,,,
Lathom AGCM,2005-05-12,,,,,,,,,,39.2,10.4,2.5,18.3,116.3,42.6,66.7,,,,
Lathom AGCM,2005-05-13,,,,,,,,,,41.1,10.7,3.2,18.3,122.1,46.9,64.9,,,,
Lathom AGCM,2005-05-14,,,,,,,,,,42.6,11.2,3.5,18.8,128.3,50.8,56.1,,,,
Lathom AGCM,2005-05-15,,,,,,,,,,44.1,11.2,3.8,18.5,134.5,54.8,54.4,,,,
Lathom AGCM,2005-05-16,,,,,,,,,,45.5,11.4,3.5,19.3,140.9,60.4,50.9,,,,
Lathom AGCM,2005-05-17,,,,,,,,,,46.3,12.1,4.7,19.6,148.1,66.7,47.4,,,,
Lathom AGCM,2005-05-18,,,,,,,,,,47.4,11.6,4.7,18.6,154.8,72.7,43.9,,,,
Lathom AGCM,2005-05-19,,,,,,,,,,48.9,11.7,4.1,19.4,161.5,79.3,40.4,,,,
Lathom AGCM,2005-05-20,,,,,,,,,,50.7,11.9,4.6,19.2,168.4,86.2,38.6,,,,
Lathom AGCM,2005-05-21,,,,,,,,,,52.2,12,4.7,19.2,175.4,94.6,35.1,,,,
Lathom AGCM,2005-05-22,,,,,,,,,,53.2,12.1,4.4,19.7,182.5,104,28.1,,,,
Lathom AGCM,2005-05-23,,,,,,,,,,54.3,12.6,5.3,20,190.1,113.5,22.8,,,,
Lathom AGCM,2005-05-24,,,,,,,,,,58.1,12.7,5.4,20,197.8,123.5,19.3,,,,
Lathom AGCM,2005-05-25,,,,,,,,,,59.9,13.1,6.1,20.1,205.9,134.3,15.8,,,,
Lathom AGCM,2005-05-26,,,,,,,,,,61.6,13.1,5.9,20.4,214,145.9,15.8,,,,
Lathom AGCM,2005-05-27,,,,,,,,,,62.8,13.3,6.2,20.3,222.3,157.7,14,,,,
Lathom AGCM,2005-05-28,,,,,,,,,,64.1,13,6,20,230.3,169.1,14,,,,
Lathom AGCM,2005-05-29,,,,,,,,,,66,13.5,6.5,20.5,238.9,181.4,14,,,,
Lathom AGCM,2005-05-30,,,,,,,,,,66.7,13.4,6.3,20.6,247.3,194.2,12.3,,,,
Lathom AGCM,2005-05-31,,,,,,,,,,67.9,13.4,6.1,20.6,255.7,206.8,10.5,,,,
Lathom AGCM,2005-06-01,,,,,,,,,,68.8,13.8,6.3,21.3,264.5,220.2,8.8,,,,
Lathom AGCM,2005-06-02,,,,,,,,,,71.5,14.4,7.1,21.7,273.9,234.7,7,,,,
Lathom AGCM,2005-06-03,,,,,,,,,,73.4,14.4,7.3,21.4,283.3,249.5,7,,,,
Lathom AGCM,2005-06-04,,,,,,,,,,74.6,14.9,7.5,22.2,293.2,265.1,3.5,,,,
Lathom AGCM,2005-06-05,,,,,,,,,,77.1,15.1,8,22.2,303.3,281.3,3.5,,,,
Lathom AGCM,2005-06-06,,,,,,,,,,80.5,13.9,7.4,20.4,312.2,295.7,3.5,,,,
Lathom AGCM,2005-06-07,,,,,,,,,,82.9,14.9,7.8,22.1,322.1,312,3.5,,,,
Lathom AGCM,2005-06-08,,,,,,,,,,86.5,14.3,7.6,20.9,331.4,327.3,3.5,,,,
Lathom AGCM,2005-06-09,,,,,,,,,,87.8,14.5,7.6,21.4,340.9,342.8,1.8,,,,
Lathom AGCM,2005-06-10,,,,,,,,,,89.3,14.4,7.7,21,350.3,358,1.8,,,,
Lathom AGCM,2005-06-11,,,,,,,,,,91,14.6,7.6,21.6,359.9,374,1.8,,,,
Lathom AGCM,2005-06-12,,,,,,,,,,93.3,14.8,7.8,21.8,369.7,390.3,1.8,,,,
Lathom AGCM,2005-06-13,,,,,,,,,,96.7,15.1,8.3,21.9,379.8,406.9,1.8,,,,
Lathom AGCM,2005-06-14,,,,,,,,,,99.4,14.9,8.1,21.7,389.7,423.3,0,,,,
Lathom AGCM,2005-06-15,,,,,,,,,,103,15.2,8.4,22,399.9,439.9,0,,,,
Lathom AGCM,2005-06-16,,,,,,,,,,104.9,15.5,8.6,22.3,410.4,456.9,0,,,,
Lathom AGCM,2005-06-17,,,,,,,,,,107.9,15.9,8.8,22.9,421.3,474.7,0,,,,
Lathom AGCM,2005-06-18,,,,,,,,,,110.2,15.7,8.7,22.7,432,492.1,0,,,,
Lathom AGCM,2005-06-19,,,,,,,,,,111.6,15.8,8.5,23,442.8,509.6,0,,,,
Lathom AGCM,2005-06-20,,,,,,,,,,112.4,15.6,8.5,22.6,453.4,526.9,0,,,,
Lathom AGCM,2005-06-21,,,,,,,,,,114.8,16.2,9.1,23.3,464.6,545,0,,,,
Lathom AGCM,2005-06-22,,,,,,,,,,116.7,16.2,9.4,23,475.8,563.1,0,,,,
Lathom AGCM,2005-06-23,,,,,,,,,,118.6,16.2,8.9,23.4,487,581.2,0,,,,
Lathom AGCM,2005-06-24,,,,,,,,,,120.9,16.2,9.3,23.1,498.2,599.2,0,,,,
Lathom AGCM,2005-06-25,,,,,,,,,,123.5,16.4,9,23.8,509.6,617.5,0,,,,
Lathom AGCM,2005-06-26,,,,,,,,,,125.6,16.6,9.2,24,521.2,635.9,0,,,,
Lathom AGCM,2005-06-27,,,,,,,,,,128,16.5,9.5,23.5,532.7,654.6,0,,,,
Lathom AGCM,2005-06-28,,,,,,,,,,130,16.7,9.5,23.9,544.4,673.4,0,,,,
Lathom AGCM,2005-06-29,,,,,,,,,,134.5,16.4,9.7,23,555.8,691.5,0,,,,
Lathom AGCM,2005-06-30,,,,,,,,,,136.8,16.5,9.6,23.4,567.3,709.8,0,,,,
Lathom AGCM,2005-07-01,,,,,,,,,,139.1,16.5,9.2,23.8,578.8,728.5,0,,,,
Lathom AGCM,2005-07-02,,,,,,,,,,141.7,16.8,9.6,24,590.6,747.6,0,,,,
Lathom AGCM,2005-07-03,,,,,,,,,,143.4,17,9.4,24.6,602.6,766.9,0,,,,
Lathom AGCM,2005-07-04,,,,,,,,,,144.6,17.5,10.2,24.8,615.1,786.7,0,,,,
Lathom AGCM,2005-07-05,,,,,,,,,,146.1,17.3,10.3,24.4,627.4,806.5,0,,,,
Lathom AGCM,2005-07-06,,,,,,,,,,147.9,17.4,10.1,24.8,639.8,826.3,0,,,,
Lathom AGCM,2005-07-07,,,,,,,,,,149,17.3,10,24.7,652.1,846.1,0,,,,
Lathom AGCM,2005-07-08,,,,,,,,,,150.6,18.4,10.4,26.4,665.5,866.9,0,,,,
Lathom AGCM,2005-07-09,,,,,,,,,,151.2,18.4,10.8,26,678.9,887.7,0,,,,
Lathom AGCM,2005-07-10,,,,,,,,,,152.9,17.9,10.9,24.9,691.8,908.2,0,,,,
Lathom AGCM,2005-07-11,,,,,,,,,,153.5,17.8,10.2,25.4,704.6,928.5,0,,,,
Lathom AGCM,2005-07-12,,,,,,,,,,154.7,18.2,10.4,26,717.8,949.1,0,,,,
Lathom AGCM,2005-07-13,,,,,,,,,,157.3,18,10.5,25.5,730.8,969.6,0,,,,
Lathom AGCM,2005-07-14,,,,,,,,,,158.3,18,10.3,25.7,743.8,989.9,0,,,,
Lathom AGCM,2005-07-15,,,,,,,,,,159,17.9,10.2,25.6,756.7,1010,0,,,,
Lathom AGCM,2005-07-16,,,,,,,,,,160.2,17.9,10.4,25.4,769.6,1030.3,0,,,,
Lathom AGCM,2005-07-17,,,,,,,,,,161.7,18,10.7,25.3,782.6,1050.7,0,,,,
Lathom AGCM,2005-07-18,,,,,,,,,,162.9,17.8,10.6,25,795.4,1070.9,0,,,,
Lathom AGCM,2005-07-19,,,,,,,,,,163.9,18,10.2,25.9,808.4,1091.2,0,,,,
Lathom AGCM,2005-07-20,,,,,,,,,,165.3,18.5,10.4,26.7,821.9,1112.1,0,,,,
Lathom AGCM,2005-07-21,,,,,,,,,,166.2,18.7,10.7,26.8,835.6,1133.1,0,,,,
Lathom AGCM,2005-07-22,,,,,,,,,,166.5,18.9,10.9,26.9,849.5,1154.5,0,,,,
Lathom AGCM,2005-07-23,,,,,,,,,,168.2,18.8,10.8,26.8,863.3,1175.7,0,,,,
Lathom AGCM,2005-07-24,,,,,,,,,,170.1,18.7,11,26.4,877,1197,0,,,,
Lathom AGCM,2005-07-25,,,,,,,,,,170.9,18.3,10.9,25.7,890.3,1217.8,0,,,,
Lathom AGCM,2005-07-26,,,,,,,,,,171.9,18.7,10.5,26.8,904,1238.8,0,,,,
Lathom AGCM,2005-07-27,,,,,,,,,,172.5,19.1,11,27.3,918.1,1260.3,0,,,,
Lathom AGCM,2005-07-28,,,,,,,,,,173.4,19.3,11.3,27.4,932.4,1282.2,0,,,,
Lathom AGCM,2005-07-29,,,,,,,,,,174.8,18.8,11.1,26.4,946.2,1303.6,0,,,,
Lathom AGCM,2005-07-30,,,,,,,,,,176.7,18.2,10.7,25.7,959.4,1324.2,0,,,,
Lathom AGCM,2005-07-31,,,,,,,,,,178.1,18.4,10.4,26.4,972.8,1344.9,0,,,,
Lathom AGCM,2005-08-01,,,,,,,,,,179.8,18.6,10.7,26.5,986.4,1365.5,0,,,,
Lathom AGCM,2005-08-02,,,,,,,,,,180.8,18.7,10.9,26.4,1000.1,1386.7,0,,,,
Lathom AGCM,2005-08-03,,,,,,,,,,182.6,18.2,10.7,25.7,1013.3,1407.1,0,,,,
Lathom AGCM,2005-08-04,,,,,,,,,,184.5,18.9,10.9,26.8,1027.2,1428.2,0,,,,
Lathom AGCM,2005-08-05,,,,,,,,,,185.7,19.2,11.3,27.2,1041.4,1449.4,0,,,,
Lathom AGCM,2005-08-06,,,,,,,,,,186.2,18.9,11.2,26.5,1055.3,1470.5,0,,,,
Lathom AGCM,2005-08-07,,,,,,,,,,187.6,18.4,10.6,26.2,1068.7,1491,0,,,,
Lathom AGCM,2005-08-08,,,,,,,,,,188.8,17.8,10.6,25,1081.5,1511.1,0,,,,
Lathom AGCM,2005-08-09,,,,,,,,,,190.2,17.9,9.6,26.2,1094.4,1530.8,0,,,,
Lathom AGCM,2005-08-10,,,,,,,,,,191.4,18.2,10.4,26,1107.6,1551,0,,,,
Lathom AGCM,2005-08-11,,,,,,,,,,192.4,17.7,9.9,25.5,1120.3,1570.8,0,,,,
Lathom AGCM,2005-08-12,,,,,,,,,,193.8,17.9,9.9,25.9,1133.2,1590.7,0,,,,
Lathom AGCM,2005-08-13,,,,,,,,,,194.9,17.4,9.7,25,1145.6,1610,0,,,,
Lathom AGCM,2005-08-14,,,,,,,,,,196.3,17.6,9.8,25.5,1158.2,1629.2,0,,,,
Lathom AGCM,2005-08-15,,,,,,,,,,199.1,17.5,9.4,25.6,1170.7,1648.4,0,,,,
Lathom AGCM,2005-08-16,,,,,,,,,,200.3,17.3,9.8,24.8,1183,1667.6,0,,,,
Lathom AGCM,2005-08-17,,,,,,,,,,201.2,17.1,9.2,24.9,1195.1,1686.5,0,,,,
Lathom AGCM,2005-08-18,,,,,,,,,,201.4,17.3,9,25.6,1207.4,1705.3,0,,,,
Lathom AGCM,2005-08-19,,,,,,,,,,202.4,17.1,9.3,25,1219.5,1724.4,0,,,,
Lathom AGCM,2005-08-20,,,,,,,,,,204,17,9.2,24.7,1231.5,1743.3,0,,,,
Lathom AGCM,2005-08-21,,,,,,,,,,205.4,17.3,9,25.5,1243.8,1762.2,0,,,,
Lathom AGCM,2005-08-22,,,,,,,,,,207.2,16.6,8.4,24.9,1255.5,1780.4,0,,,,
Lathom AGCM,2005-08-23,,,,,,,,,,208.1,16.8,8.7,24.9,1267.3,1798.7,0,,,,
Lathom AGCM,2005-08-24,,,,,,,,,,210,16.2,8.2,24.2,1278.5,1816.3,1.8,,,,
Lathom AGCM,2005-08-25,,,,,,,,,,211.3,16.4,8.4,24.4,1289.9,1834.1,1.8,,,,
Lathom AGCM,2005-08-26,,,,,,,,,,212.4,16,8.1,23.9,1300.9,1851.5,1.8,,,,
Lathom AGCM,2005-08-27,,,,,,,,,,213.2,16.5,8.2,24.7,1312.4,1869.6,1.8,,,,
Lathom AGCM,2005-08-28,,,,,,,,,,214.3,15.7,7.8,23.7,1323.1,1886.7,1.8,,,,
Lathom AGCM,2005-08-29,,,,,,,,,,214.9,15.7,7.7,23.7,1333.8,1903.6,1.8,,,,
Lathom AGCM,2005-08-30,,,,,,,,,,216.3,15.1,7.6,22.5,1343.9,1919.6,1.8,,,,
Lathom AGCM,2005-08-31,,,,,,,,,,216.6,15.1,7,23.1,1354,1935.6,1.8,,,,
Lathom AGCM,2005-09-01,,,,,,,,,,217.4,15.1,6.9,23.2,1364.1,1951.8,1.8,,,,
Lathom AGCM,2005-09-02,,,,,,,,,,218.9,14.8,6.7,22.9,1373.9,1967.6,3.5,,,,
Lathom AGCM,2005-09-03,,,,,,,,,,220.2,14.8,6.6,22.9,1383.7,1983.3,7,,,,
Lathom AGCM,2005-09-04,,,,,,,,,,221.2,14.4,6.5,22.3,1393.1,1998.3,7,,,,
Lathom AGCM,2005-09-05,,,,,,,,,,221.9,14.2,6.6,21.8,1402.3,2012.5,7,,,,
Lathom AGCM,2005-09-06,,,,,,,,,,223.5,13.7,5.9,21.4,1411.1,2026.9,10.5,,,,
Lathom AGCM,2005-09-07,,,,,,,,,,224.4,12.9,5.7,20,1419.1,2040,14,,,,
Lathom AGCM,2005-09-08,,,,,,,,,,225.5,13.2,5.3,21,1427.3,2053.5,15.8,,,,
Lathom AGCM,2005-09-09,,,,,,,,,,226.3,12.8,5.2,20.4,1435.1,2066.4,15.8,,,,
Lathom AGCM,2005-09-10,,,,,,,,,,227.4,13.1,4.9,21.3,1443.3,2079.8,21.1,,,,
Lathom AGCM,2005-09-11,,,,,,,,,,230,12.3,4.9,19.7,1450.6,2092.1,29.8,,,,
Lathom AGCM,2005-09-12,,,,,,,,,,231.5,11.7,4.6,18.8,1457.4,2103.8,29.8,,,,
Lathom AGCM,2005-09-13,,,,,,,,,,231.8,11.5,4.1,18.8,1464,2115.5,36.8,,,,
Lathom AGCM,2005-09-14,,,,,,,,,,232.9,11.7,3.8,19.6,1470.9,2127.2,38.6,,,,
Lathom AGCM,2005-09-15,,,,,,,,,,233.8,12,4.1,19.8,1478,2138.8,38.6,,,,
Lathom AGCM,2005-09-16,,,,,,,,,,234.6,11.8,4.3,19.3,1485,2150.5,43.9,,,,
Lathom AGCM,2005-09-17,,,,,,,,,,236.1,10.9,4.1,17.7,1491.1,2160.4,52.6,,,,
Lathom AGCM,2005-09-18,,,,,,,,,,237.3,10.6,3.3,17.9,1496.9,2170.4,54.4,,,,
Lathom AGCM,2005-09-19,,,,,,,,,,238.7,10.4,3.4,17.5,1502.5,2180.2,59.6,,,,
Lathom AGCM,2005-09-20,,,,,,,,,,240.9,9.7,3.1,16.2,1507.3,2188.8,61.4,,,,
Lathom AGCM,2005-09-21,,,,,,,,,,243.5,9.9,2.5,17.3,1512.4,2198,66.7,,,,
Lathom AGCM,2005-09-22,,,,,,,,,,243.9,10.6,2.7,18.6,1518.3,2208.6,68.4,,,,
Lathom AGCM,2005-09-23,,,,,,,,,,244.5,11.2,2.9,19.4,1524.7,2220,70.2,,,,
Lathom AGCM,2005-09-24,,,,,,,,,,246.1,11.3,3.1,19.5,1531.2,2231.6,75.4,,,,
Lathom AGCM,2005-09-25,,,,,,,,,,247.8,11.2,3.5,19,1537.8,2242.7,75.4,,,,
Lathom AGCM,2005-09-26,,,,,,,,,,249,10,3,17.1,1543.3,2252.6,77.2,,,,
Lathom AGCM,2005-09-27,,,,,,,,,,249.4,9.8,2.1,17.5,1548.6,2262.4,80.7,,,,
Lathom AGCM,2005-09-28,,,,,,,,,,250,10.2,2.2,18.2,1554.2,2273.1,82.5,,,,
Lathom AGCM,2005-09-29,,,,,,,,,,250.6,10.6,2.3,18.8,1560.1,2283.6,86,,,,
Lathom AGCM,2005-09-30,,,,,,,,,,251.3,9.8,2.2,17.4,1565.3,2293.6,87.7,,,,
Lathom AGCM,2005-10-01,,,,,,,,,,252,9.3,1.9,16.7,1569.9,2302.7,87.7,,,,
Lathom AGCM,2005-10-02,,,,,,,,,,252.5,9,1,16.9,1574.3,2311.4,91.2,,,,
Lathom AGCM,2005-10-03,,,,,,,,,,252.8,8.4,0.8,16.1,1578.1,2319.3,93,,,,
Lathom AGCM,2005-10-04,,,,,,,,,,253.5,8.1,0.7,15.6,1581.8,2327.1,96.5,,,,
Lathom AGCM,2005-10-05,,,,,,,,,,253.9,7.8,-0.1,15.6,1585.3,2335,98.2,,,,
Lathom AGCM,2005-10-06,,,,,,,,,,254.5,8.5,0.3,16.7,1589.4,2344.1,98.2,,,,
Lathom AGCM,2005-10-07,,,,,,,,,,254.9,8.3,0.6,16.1,1593.6,2352.9,100,,,,
Lathom AGCM,2005-10-08,,,,,,,,,,255.3,8,0.3,15.8,1597.4,2361.1,100,,,,
Lathom AGCM,2005-10-09,,,,,,,,,,255.6,7.5,-0.5,15.6,1600.9,2369.2,100,,,,
Lathom AGCM,2005-10-10,,,,,,,,,,256,7.3,-0.2,14.9,1604.2,2376.7,100,,,,
Lathom AGCM,2005-10-11,,,,,,,,,,256.5,5.8,-1.4,13,1606.6,2382.8,100,,,,
Lathom AGCM,2005-10-12,,,,,,,,,,257.1,6.8,-0.6,14.2,1609.4,2389.4,100,,,,
Lathom AGCM,2005-10-13,,,,,,,,,,257.5,6.9,-0.4,14.3,1612.2,2395.8,100,,,,
Lathom AGCM,2005-10-14,,,,,,,,,,258.3,6.2,-0.9,13.3,1614.5,2401.7,100,,,,
Lathom AGCM,2005-10-15,,,,,,,,,,258.9,5.8,-1.1,12.7,1616.9,2407,100,,,,
Lathom AGCM,2005-10-16,,,,,,,,,,259.5,5.8,-1.2,12.8,1619.2,2412.6,100,,,,
Lathom AGCM,2005-10-17,,,,,,,,,,260.5,5.2,-1.9,12.3,1621.2,2417.7,100,,,,
Lathom AGCM,2005-10-18,,,,,,,,,,261.3,5.7,-1.8,13.1,1623.3,2423,100,,,,
Lathom AGCM,2005-10-19,,,,,,,,,,261.7,6.1,-1.5,13.7,1625.5,2429.2,100,,,,
Lathom AGCM,2005-10-20,,,,,,,,,,262.3,5.7,-1.4,12.9,1627.7,2434.9,100,,,,
Lathom AGCM,2005-10-21,,,,,,,,,,263,5.4,-1.4,12.1,1629.6,2439.7,100,,,,
Lathom AGCM,2005-10-22,,,,,,,,,,263.2,4.8,-2.4,12,1631.4,2444.7,100,,,,
Lathom AGCM,2005-10-23,,,,,,,,,,263.5,5,-2.5,12.6,1633.4,2450.3,100,,,,
Lathom AGCM,2005-10-24,,,,,,,,,,264.1,5,-2.2,12.2,1635.4,2455.7,100,,,,
Lathom AGCM,2005-10-25,,,,,,,,,,264.7,4.9,-2.5,12.2,1637.1,2460.6,100,,,,
Lathom AGCM,2005-10-26,,,,,,,,,,265.4,4.2,-2.3,10.6,1638.9,2465,100,,,,
Lathom AGCM,2005-10-27,,,,,,,,,,265.9,2.8,-4.1,9.6,1640.1,2469.2,100,,,,
Lathom AGCM,2005-10-28,,,,,,,,,,266.3,2.7,-4,9.3,1641.5,2473,100,,,,
Lathom AGCM,2005-10-29,,,,,,,,,,266.6,1.9,-4.9,8.8,1642.8,2476.5,100,,,,
Lathom AGCM,2005-10-30,,,,,,,,,,267,1.8,-5.1,8.8,1643.7,2479.5,100,,,,
Lathom AGCM,2005-10-31,,,,,,,,,,267.6,1.7,-5,8.4,1644.5,2482.5,100,,,,
Lathom AGCM,2005-11-01,,,,,,,,,,268.2,1.2,-5.2,7.6,1645.4,2484.8,100,,,,
Lathom AGCM,2005-11-02,,,,,,,,,,268.7,1.4,-5.1,7.9,1646.4,2487.5,100,,,,
Lathom AGCM,2005-11-03,,,,,,,,,,268.9,1.3,-5.5,8.1,1647.1,2490.1,100,,,,
Lathom AGCM,2005-11-04,,,,,,,,,,269.2,1.5,-4.9,7.8,1648.1,2492.7,100,,,,
Lathom AGCM,2005-11-05,,,,,,,,,,269.6,0.7,-5.6,7,1648.9,2495.1,100,,,,
Lathom AGCM,2005-11-06,,,,,,,,,,269.8,-0.2,-6.5,6.1,1649.2,2496.9,100,,,,
Lathom AGCM,2005-11-07,,,,,,,,,,270.1,-0.2,-6.2,5.8,1649.6,2498.6,100,,,,
Lathom AGCM,2005-11-08,,,,,,,,,,270.4,-0.8,-6.9,5.2,1649.7,2499.5,100,,,,
Lathom AGCM,2005-11-09,,,,,,,,,,271,-1.2,-7.1,4.6,1650.1,2501,100,,,,
Lathom AGCM,2005-11-10,,,,,,,,,,271.4,-1.7,-7.5,4.1,1650.5,2502.3,100,,,,
Lathom AGCM,2005-11-11,,,,,,,,,,271.7,-2.2,-8.2,3.8,1650.8,2503.2,100,,,,
Lathom AGCM,2005-11-12,,,,,,,,,,272.2,-3.1,-9.3,3.1,1651.2,2504.4,100,,,,
Lathom AGCM,2005-11-13,,,,,,,,,,272.4,-1.5,-7.5,4.6,1651.4,2505.1,100,,,,
Lathom AGCM,2005-11-14,,,,,,,,,,273.2,-1.8,-8,4.4,1651.7,2505.9,100,,,,
Lathom AGCM,2005-11-15,,,,,,,,,,273.5,-1.1,-7.2,4.9,1652.1,2507,100,,,,
Lathom AGCM,2005-11-16,,,,,,,,,,274.2,-1.8,-7.3,3.7,1652.1,2507.9,100,,,,
Lathom AGCM,2005-11-17,,,,,,,,,,274.9,-3.2,-8.2,1.9,1652.1,2508.5,100,,,,
Lathom AGCM,2005-11-18,,,,,,,,,,275.5,-3.9,-9.3,1.5,1652.1,2508.9,100,,,,
Lathom AGCM,2005-11-19,,,,,,,,,,276,-4.4,-10.4,1.6,1652.1,2509.6,100,,,,
Lathom AGCM,2005-11-20,,,,,,,,,,276.3,-4.3,-10,1.5,1652.1,2510.4,100,,,,
Lathom AGCM,2005-11-21,,,,,,,,,,276.7,-5.2,-10.9,0.4,1652.1,2510.8,100,,,,
Lathom AGCM,2005-11-22,,,,,,,,,,277.1,-6.2,-11.9,-0.5,1652.1,2511.2,100,,,,
Lathom AGCM,2005-11-23,,,,,,,,,,277.5,-6.2,-12.8,0.4,1652.1,2511.5,100,,,,
Lathom AGCM,2005-11-24,,,,,,,,,,278.3,-5.8,-11.5,-0.1,1652.1,2511.6,100,,,,
