Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Humidity Avg. (%),Snow Water (mm),Estimated Incoming Rad. Total (MJ/m2)
T028R15W4,2009-05-23,0.46,22.58,0.0,49.75999999999999,38.09,0.0,29.8
T028R15W4,2009-05-24,3.89,24.34,0.0,49.75999999999999,35.52,0.0,28.75
T028R15W4,2009-05-25,7.0,21.84,0.0,49.75999999999999,43.5,0.0,24.58
T028R15W4,2009-05-26,6.37,25.21,0.0,49.75999999999999,39.66,0.0,27.79
T028R15W4,2009-05-27,4.07,21.82,0.0,49.75999999999999,43.7,0.0,27.07
T028R15W4,2009-05-28,1.97,23.31,0.0,49.75999999999999,38.84,0.0,29.77
T028R15W4,2009-05-29,4.54,26.35,0.0,49.75999999999999,29.09,0.0,30.19
T028R15W4,2009-05-30,8.83,26.79,0.0,49.75999999999999,33.98,0.0,27.48
T028R15W4,2009-05-31,6.29,22.71,0.0,49.75999999999999,29.9,0.0,26.35
T028R15W4,2009-06-01,4.47,16.1,0.0,49.75999999999999,46.15,0.0,22.23
T028R15W4,2009-06-02,-0.56,21.04,0.0,49.75999999999999,36.69,0.0,30.36
T028R15W4,2009-06-03,3.44,24.92,0.0,49.75999999999999,29.1,0.0,30.34
T028R15W4,2009-06-04,4.9,20.65,0.0,49.75999999999999,39.32,0.0,26.05
T028R15W4,2009-06-05,2.4,9.44,16.55,66.30999999999999,79.08,0.0,17.44
T028R15W4,2009-06-06,2.37,11.09,4.76,71.07,71.68,0.0,19.46
T028R15W4,2009-06-07,-0.22,13.47,0.0,71.07,69.98,0.0,24.43
T028R15W4,2009-06-08,-2.0,14.24,0.57,71.63999999999999,68.84,0.0,26.65
T028R15W4,2009-06-09,-0.44,16.98,0.0,71.63999999999999,66.07,0.0,27.63
T028R15W4,2009-06-10,1.35,19.58,0.0,71.63999999999999,53.28,0.0,28.32
T028R15W4,2009-06-11,3.67,24.86,0.0,71.63999999999999,44.3,0.0,30.56
T028R15W4,2009-06-12,9.74,24.51,0.95,72.58999999999999,54.14,0.0,25.54
T028R15W4,2009-06-13,7.76,28.63,0.19,72.77999999999999,52.46,0.0,30.39
T028R15W4,2009-06-14,9.26,29.99,0.0,72.77999999999999,47.17,0.0,30.32
T028R15W4,2009-06-15,12.02,30.07,0.0,72.77999999999999,47.52,0.0,28.32
T028R15W4,2009-06-16,9.66,27.38,0.0,72.77999999999999,67.4,0.0,28.07
T028R15W4,2009-06-17,9.24,26.87,0.0,72.77999999999999,63.25,0.0,28.01
T028R15W4,2009-06-18,10.97,23.25,0.0,72.77999999999999,61.9,0.0,23.38
T028R15W4,2009-06-19,7.43,26.16,0.0,72.77999999999999,55.28,0.0,28.89
T028R15W4,2009-06-20,8.17,24.91,0.0,72.77999999999999,60.29,0.0,27.31
T028R15W4,2009-06-21,11.82,17.19,7.42,80.19999999999999,80.06,0.0,15.47
T028R15W4,2009-06-22,8.93,18.96,0.57,80.76999999999998,74.23,0.0,21.15
T028R15W4,2009-06-23,9.34,22.05,1.14,81.90999999999998,54.95,0.0,23.79
T028R15W4,2009-06-24,5.16,24.8,0.0,81.90999999999998,48.71,0.0,29.56
T028R15W4,2009-06-25,10.18,27.99,0.19,82.09999999999998,44.15,0.0,28.13
T028R15W4,2009-06-26,5.87,24.48,0.0,82.09999999999998,44.72,0.0,28.74
T028R15W4,2009-06-27,5.26,23.07,0.0,82.09999999999998,44.22,0.0,28.09
T028R15W4,2009-06-28,7.63,25.9,0.0,82.09999999999998,41.19,0.0,28.42
T028R15W4,2009-06-29,9.43,24.27,1.33,83.42999999999998,50.61,0.0,25.59
T028R15W4,2009-06-30,9.21,21.84,2.66,86.08999999999997,63.14,0.0,23.58
T028R15W4,2009-07-01,3.9,22.13,1.29,87.37999999999998,47.0,0.0,28.29
T028R15W4,2009-07-02,7.31,23.42,0.0,87.37999999999998,45.92,0.0,26.55
T028R15W4,2009-07-03,8.4,22.78,0.53,87.90999999999998,62.09,0.0,25.05
T028R15W4,2009-07-04,8.2,25.66,4.76,92.66999999999999,61.67,0.0,27.54
T028R15W4,2009-07-05,8.61,24.87,0.23,92.89999999999999,68.42,0.0,26.53
T028R15W4,2009-07-06,12.59,20.46,24.87,117.77,80.48,0.0,18.42
T028R15W4,2009-07-07,10.29,23.02,0.45,118.22,69.94,0.0,23.39
T028R15W4,2009-07-08,5.68,20.25,8.84,127.06,76.52,0.0,24.96
T028R15W4,2009-07-09,8.36,16.98,1.06,128.12,80.21,0.0,19.15
T028R15W4,2009-07-10,5.77,21.16,0.3,128.42000000000002,71.23,0.0,25.52
T028R15W4,2009-07-11,9.18,20.82,0.0,128.42000000000002,70.49,0.0,22.14
T028R15W4,2009-07-12,6.93,25.55,0.0,128.42000000000002,66.56,0.0,27.92
T028R15W4,2009-07-13,11.86,24.01,16.18,144.60000000000002,78.16,0.0,22.49
T028R15W4,2009-07-14,7.83,16.91,0.08,144.68000000000004,70.55,0.0,19.38
T028R15W4,2009-07-15,4.82,22.15,0.0,144.68000000000004,65.45,0.0,26.7
T028R15W4,2009-07-16,8.97,27.31,0.0,144.68000000000004,63.56,0.0,27.37
T028R15W4,2009-07-17,13.0,28.19,8.32,153.00000000000003,58.51,0.0,24.82
T028R15W4,2009-07-18,13.02,30.09,0.0,153.00000000000003,60.53,0.0,26.22
T028R15W4,2009-07-19,10.94,23.73,0.0,153.00000000000003,57.47,0.0,22.62
T028R15W4,2009-07-20,8.7,23.73,0.0,153.00000000000003,58.62,0.0,24.42
T028R15W4,2009-07-21,7.67,27.09,0.0,153.00000000000003,57.32,0.0,27.65
T028R15W4,2009-07-22,10.79,32.3,0.0,153.00000000000003,52.92,0.0,28.98
T028R15W4,2009-07-23,12.14,29.67,0.0,153.00000000000003,55.12,0.0,26.05
T028R15W4,2009-07-24,11.63,31.56,0.0,153.00000000000003,53.52,0.0,27.66
T028R15W4,2009-07-25,12.27,33.05,0.0,153.00000000000003,52.79,0.0,28.11
T028R15W4,2009-07-26,14.32,26.18,0.0,153.00000000000003,61.86,0.0,21.14
T028R15W4,2009-07-27,8.4,27.1,0.0,153.00000000000003,53.37,0.0,26.41
T028R15W4,2009-07-28,10.69,21.4,1.81,154.81000000000003,72.95,0.0,19.89
T028R15W4,2009-07-29,8.59,23.52,0.0,154.81000000000003,58.35,0.0,23.37
T028R15W4,2009-07-30,6.75,26.87,2.42,157.23000000000002,59.64,0.0,26.98
T028R15W4,2009-07-31,9.44,23.95,0.0,157.23000000000002,69.61,0.0,22.79
T028R15W4,2009-08-01,9.52,32.43,0.32,157.55,62.87,0.0,28.49
T028R15W4,2009-08-02,11.94,29.09,0.16,157.71,69.85,0.0,24.51
T028R15W4,2009-08-03,10.08,19.54,14.25,171.96,69.03,0.0,18.09
T028R15W4,2009-08-04,10.47,13.73,16.49,188.45000000000002,87.79,0.0,10.56
T028R15W4,2009-08-05,9.99,15.6,0.32,188.77,83.48,0.0,13.77
T028R15W4,2009-08-06,9.55,17.47,2.88,191.65,85.81,0.0,16.26
T028R15W4,2009-08-07,8.62,19.69,0.0,191.65,81.04,0.0,19.11
T028R15W4,2009-08-08,6.83,23.0,0.0,191.65,73.38,0.0,22.94
T028R15W4,2009-08-09,7.93,26.39,0.0,191.65,68.93,0.0,24.35
T028R15W4,2009-08-10,9.77,26.86,0.0,191.65,62.23,0.0,23.28
T028R15W4,2009-08-11,10.56,24.94,4.16,195.81,66.1,0.0,21.2
T028R15W4,2009-08-12,7.52,24.02,0.0,195.81,66.96,0.0,22.55
T028R15W4,2009-08-13,7.75,18.63,0.64,196.45,74.27,0.0,18.18
T028R15W4,2009-08-14,10.38,14.8,39.06,235.51,90.72,0.0,11.5
T028R15W4,2009-08-15,8.71,10.93,19.53,255.04,93.34,0.0,8.1
T028R15W4,2009-08-16,7.79,19.93,0.0,255.04,74.62,0.0,18.78
T028R15W4,2009-08-17,6.05,23.88,0.16,255.2,67.69,0.0,22.59
T028R15W4,2009-08-18,12.17,24.04,0.0,255.2,67.95,0.0,18.28
T028R15W4,2009-08-19,10.64,22.18,0.0,255.2,66.54,0.0,17.88
T028R15W4,2009-08-20,6.93,22.85,0.0,255.2,66.01,0.0,20.83
T028R15W4,2009-08-21,11.02,29.42,0.0,255.2,61.39,0.0,22.21
T028R15W4,2009-08-22,11.0,24.18,0.0,255.2,65.61,0.0,18.63
T028R15W4,2009-08-23,8.54,23.4,0.0,255.2,73.13,0.0,19.62
T028R15W4,2009-08-24,4.18,21.8,0.0,255.2,61.17,0.0,21.17
T028R15W4,2009-08-25,5.75,27.92,0.0,255.2,56.84,0.0,23.54
T028R15W4,2009-08-26,9.92,24.54,0.0,255.2,67.46,0.0,18.94
T028R15W4,2009-08-27,8.74,25.15,0.0,255.2,72.6,0.0,19.88
T028R15W4,2009-08-28,7.91,27.48,0.0,255.2,62.95,0.0,21.5
T028R15W4,2009-08-29,8.44,25.99,0.0,255.2,56.61,0.0,20.17
T028R15W4,2009-08-30,7.54,25.76,0.0,255.2,58.28,0.0,20.36
T028R15W4,2009-08-31,8.13,29.12,0.0,255.2,56.81,0.0,21.63
T028R15W4,2009-09-01,8.81,30.16,0.0,255.2,60.65,0.0,21.59
T028R15W4,2009-09-02,11.39,31.24,0.0,255.2,55.32,0.0,20.61
T028R15W4,2009-09-03,9.24,31.91,0.08,255.28,49.02,0.0,21.8
T028R15W4,2009-09-04,6.53,24.92,0.08,255.36,49.32,0.0,19.43
T028R15W4,2009-09-05,5.36,25.05,0.0,255.36,59.61,0.0,19.89
T028R15W4,2009-09-06,10.65,26.39,0.0,255.36,49.64,0.0,17.59
T028R15W4,2009-09-07,3.23,20.79,0.0,255.36,45.83,0.0,18.37
T028R15W4,2009-09-08,2.07,22.4,0.0,255.36,46.63,0.0,19.55
T028R15W4,2009-09-09,1.39,22.05,0.0,255.36,49.36,0.0,19.48
T028R15W4,2009-09-10,6.25,20.02,0.0,255.36,58.16,0.0,15.72
T028R15W4,2009-09-11,2.36,23.59,0.0,255.36,58.95,0.0,19.29
T028R15W4,2009-09-12,5.24,26.48,0.0,255.36,50.17,0.0,19.08
T028R15W4,2009-09-13,6.06,23.94,0.0,255.36,56.27,0.0,17.29
T028R15W4,2009-09-14,4.64,19.34,0.0,255.36,72.67,0.0,15.49
T028R15W4,2009-09-15,4.9,28.25,0.0,255.36,64.27,0.0,19.28
T028R15W4,2009-09-16,9.55,31.8,0.0,255.36,49.44,0.0,18.59
T028R15W4,2009-09-17,8.2,25.45,0.08,255.44000000000003,62.69,0.0,16.16
T028R15W4,2009-09-18,2.87,25.63,0.0,255.44000000000003,64.61,0.0,18.32
T028R15W4,2009-09-19,7.4,31.67,0.0,255.44000000000003,46.56,0.0,18.68
T028R15W4,2009-09-20,6.07,16.45,7.28,262.72,59.08,0.0,12.05
T028R15W4,2009-09-21,-0.36,20.53,0.0,262.72,55.8,0.0,16.88
T028R15W4,2009-09-22,5.26,29.76,0.0,262.72,51.24,0.0,18.03
T028R15W4,2009-09-23,7.39,32.33,0.0,262.72,49.53,0.0,17.94
T028R15W4,2009-09-24,8.09,29.7,0.0,262.72,42.61,0.0,16.47
T028R15W4,2009-09-25,2.75,23.0,0.0,262.72,43.47,0.0,15.72
T028R15W4,2009-09-26,5.27,19.42,2.93,265.65000000000003,53.52,0.0,12.96
T028R15W4,2009-09-27,0.43,13.25,0.08,265.73,46.13,0.0,12.16
T028R15W4,2009-09-28,-2.76,16.38,0.0,265.73,51.47,0.0,14.65
T028R15W4,2009-09-29,5.37,23.73,0.0,265.73,39.36,0.0,14.14
T028R15W4,2009-09-30,1.54,11.88,0.0,265.73,54.76,0.0,10.46
T028R15W4,2009-10-01,-5.95,12.99,0.0,265.73,64.27,0.0,13.94
T028R15W4,2009-10-02,-5.15,13.78,0.15,265.88,57.54,0.0,13.73
T028R15W4,2009-10-03,-3.23,5.06,1.06,266.94,84.17,0.0,8.95
T028R15W4,2009-10-04,1.07,4.82,1.51,268.45,90.93,0.0,5.92
T028R15W4,2009-10-05,-0.68,5.13,0.0,268.45,84.92,0.0,7.26
T028R15W4,2009-10-06,-0.97,18.44,5.43,273.88,72.8,0.0,13.07
T028R15W4,2009-10-07,-4.24,4.06,0.15,274.03,74.66,0.0,8.41
T028R15W4,2009-10-08,-9.69,1.15,0.45,274.47999999999996,84.85,0.09,9.46
T028R15W4,2009-10-09,-11.52,-4.58,0.0,274.47999999999996,67.98,0.0,7.45
T028R15W4,2009-10-10,-8.1,-3.09,0.0,274.47999999999996,74.57,0.0,6.22
T028R15W4,2009-10-11,-8.23,-3.3,0.3,274.78,77.71,0.0,6.08
T028R15W4,2009-10-12,-8.69,-2.84,0.0,274.78,71.91,0.0,6.51
T028R15W4,2009-10-13,-6.45,-0.38,0.15,274.92999999999995,76.34,0.0,6.52
T028R15W4,2009-10-14,-2.54,0.36,9.06,283.98999999999995,95.08,10.71,4.43
T028R15W4,2009-10-15,-1.94,3.21,0.15,284.13999999999993,90.13,10.72,5.82
T028R15W4,2009-10-16,-4.69,10.16,0.0,284.13999999999993,80.67,7.44,9.7
T028R15W4,2009-10-17,4.8,17.66,0.0,284.13999999999993,64.86,0.0,8.88
T028R15W4,2009-10-18,0.18,9.06,0.0,284.13999999999993,84.47,0.0,7.25
T028R15W4,2009-10-19,-2.78,7.22,0.0,284.13999999999993,90.61,0.0,7.56
T028R15W4,2009-10-20,0.82,6.48,5.74,289.87999999999994,93.37,0.0,5.59
T028R15W4,2009-10-21,-1.55,10.32,0.3,290.17999999999995,88.38,0.0,7.96
T028R15W4,2009-10-22,0.23,12.58,0.0,290.17999999999995,78.22,0.0,7.98
T028R15W4,2009-10-23,-2.85,8.96,0.0,290.17999999999995,78.15,0.0,7.67
T028R15W4,2009-10-24,-1.31,8.45,0.0,290.17999999999995,72.31,0.0,6.85
T028R15W4,2009-10-25,-4.61,9.48,0.0,290.17999999999995,60.09,0.0,8.09
T028R15W4,2009-10-26,-1.42,10.97,0.91,291.09,62.54,0.0,7.45
T028R15W4,2009-10-27,-0.41,4.26,3.92,295.01,85.17,4.58,4.49
T028R15W4,2009-10-28,-3.72,2.97,0.0,295.01,83.77,3.39,5.28
T028R15W4,2009-10-29,-6.14,4.08,0.0,295.01,80.66,0.33,6.42
T028R15W4,2009-10-30,-1.53,4.76,0.0,295.01,83.29,0.0,4.94
T028R15W4,2009-10-31,-0.62,17.26,0.15,295.15999999999997,70.0,0.0,8.19
T028R15W4,2009-11-01,-4.1,7.15,2.71,297.86999999999995,77.03,1.36,6.38
T028R15W4,2009-11-02,-6.94,9.82,0.07,297.93999999999994,72.04,0.0,7.65
T028R15W4,2009-11-03,-4.08,9.47,0.0,297.93999999999994,71.21,0.0,6.76
T028R15W4,2009-11-04,-8.43,4.69,0.0,297.93999999999994,78.16,0.0,6.53
